97.4026 27.8825
97.052 27.6991
97.134 27.0838
96.4194 27.2646
95.1248 26.5736
95.1552 26.0013
94.6032 25.1625
94.5527 24.6752
94.1067 23.8507
93.3252 24.0786
93.2863 23.0437
93.0603 22.7031
93.1661 22.2785
92.6727 22.0412
92.146 23.6275
91.8699 23.6243
91.7065 22.9853
91.159 23.5035
91.4677 24.0726
91.9151 24.1304
92.3762 24.9767
91.7996 25.1474
90.8722 25.1326
89.9207 25.2697
89.8325 25.9651
89.3551 26.0144
88.563 26.4465
88.2098 25.7681
88.9316 25.2387
88.3064 24.8661
88.0844 24.5017
88.6999 24.2337
88.5298 23.6311
88.8763 22.8791
89.032 22.0557
88.8888 21.6906
88.2085 21.7032
86.9757 21.4956
87.0332 20.7433
86.4994 20.1516
85.0603 19.4786
83.941 18.302
83.1892 17.6712
82.1928 17.0166
82.1912 16.5567
81.6927 16.3102
80.792 15.952
80.3249 15.8992
80.0251 15.1364
80.2333 13.8358
80.2863 13.0063
79.8625 12.0562
79.858 10.3573
79.3405 10.3089
78.8853 9.54614
79.1897 9.21654
78.2779 8.93305
77.9412 8.25296
77.5399 7.96553
76.593 8.89928
76.1301 10.2996
75.7465 11.3083
75.3961 11.7812
74.8648 12.7419
74.6167 13.9926
74.4439 14.6172
73.5342 15.9907
73.1199 17.9286
72.8209 19.2082
72.8245 20.4195
72.6305 21.356
71.1753 20.7574
70.4705 20.8773
69.1641 22.0893
69.6449 22.4508
69.3496 22.8432
68.1766 23.692
68.8426 24.3591
71.0432 24.3565
70.8447 25.2151
70.2829 25.7222
70.1689 26.4919
69.5144 26.941
70.6165 27.9892
71.7777 27.9132
72.8238 28.9616
73.4506 29.9764
74.4214 30.9798
74.4059 31.6926
75.2586 32.2711
74.4516 32.7649
74.1043 33.4415
73.7499 34.3177
74.2402 34.7489
75.7571 34.5049
76.8717 34.6535
77.8375 35.494
78.9123 34.3219
78.8111 33.5062
79.2089 32.9944
79.1761 32.4838
78.4584 32.6182
78.7389 31.5159
79.7214 30.8827
81.1113 30.1835
80.4767 29.7299
80.0884 28.7945
81.0572 28.4161
82 27.9255
83.3042 27.3645
84.675 27.2349
85.2518 26.7262
86.0244 26.631
87.2275 26.3979
